id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,time_signature,type1,uri,track_href,analysis_url,class
1nGCEXgw8OGnXLNlNBHJj3,Siúil a Rún,Celtic Woman,0.508,0.175,4,-13.908,0,0.0333,0.916,0.0,0.143,0.208,100.246,2.997693286,4,audio_features,spotify:track:1nGCEXgw8OGnXLNlNBHJj3,https://api.spotify.com/v1/tracks/1nGCEXgw8OGnXLNlNBHJj3,https://api.spotify.com/v1/audio-analysis/1nGCEXgw8OGnXLNlNBHJj3,yes
3puypV6zNNuzgrzPddQuON,My Land,Celtic Woman,0.445,0.223,2,-10.862,1,0.0274,0.806,0.0,0.104,0.176,95.891,4.08241498,3,audio_features,spotify:track:3puypV6zNNuzgrzPddQuON,https://api.spotify.com/v1/tracks/3puypV6zNNuzgrzPddQuON,https://api.spotify.com/v1/audio-analysis/3puypV6zNNuzgrzPddQuON,yes
0hYiRSs5klBRTO4CPHJyQ8,"Piove (Ciao, ciao bambina) - 2015 Version",Il Volo,0.536,0.581,3,-6.289,1,0.0314,0.434,1.28e-06,0.0914,0.506,129.975,3.5502876710000004,4,audio_features,spotify:track:0hYiRSs5klBRTO4CPHJyQ8,https://api.spotify.com/v1/tracks/0hYiRSs5klBRTO4CPHJyQ8,https://api.spotify.com/v1/audio-analysis/0hYiRSs5klBRTO4CPHJyQ8,yes
1H7OU1XVO07rWFUbEiIyWU,Beautiful That Way - La vita è bella,Il Volo,0.557,0.49,4,-7.408,0,0.028,0.429,0.00176,0.0889,0.458,111.012,3.7311912890000003,4,audio_features,spotify:track:1H7OU1XVO07rWFUbEiIyWU,https://api.spotify.com/v1/tracks/1H7OU1XVO07rWFUbEiIyWU,https://api.spotify.com/v1/audio-analysis/1H7OU1XVO07rWFUbEiIyWU,yes
6YZ7xSsyCiQoKXpOpM0P83,"Nel blu, dipinto di blu (Volare)",Il Volo,0.426,0.846,2,-6.825,1,0.153,0.426,4.52e-05,0.282,0.309,117.184,3.74740828,4,audio_features,spotify:track:6YZ7xSsyCiQoKXpOpM0P83,https://api.spotify.com/v1/tracks/6YZ7xSsyCiQoKXpOpM0P83,https://api.spotify.com/v1/audio-analysis/6YZ7xSsyCiQoKXpOpM0P83,yes
7xLB8tszjyqjRXHYoaxHab,La Vida,Il Volo,0.411,0.695,7,-5.819,0,0.0379,0.159,0.000457,0.267,0.308,84.014,3.5831883290000004,4,audio_features,spotify:track:7xLB8tszjyqjRXHYoaxHab,https://api.spotify.com/v1/tracks/7xLB8tszjyqjRXHYoaxHab,https://api.spotify.com/v1/audio-analysis/7xLB8tszjyqjRXHYoaxHab,yes
6hmFNtwsTJyStlGlqACvjV,Recuérdame,Il Volo,0.461,0.645,2,-6.1,0,0.0276,0.207,0.00109,0.0688,0.294,94.027,3.6354060400000003,4,audio_features,spotify:track:6hmFNtwsTJyStlGlqACvjV,https://api.spotify.com/v1/tracks/6hmFNtwsTJyStlGlqACvjV,https://api.spotify.com/v1/audio-analysis/6hmFNtwsTJyStlGlqACvjV,yes
0H87WruWi7N811L7QfPYWD,No Hace Falta,Il Volo,0.233,0.658,6,-5.334,1,0.0452,0.262,0.00326,0.0892,0.137,178.064,4.774545489,3,audio_features,spotify:track:0H87WruWi7N811L7QfPYWD,https://api.spotify.com/v1/tracks/0H87WruWi7N811L7QfPYWD,https://api.spotify.com/v1/audio-analysis/0H87WruWi7N811L7QfPYWD,yes
4g5AEhP01lVMVuIyhXJJ22,Esperaré,Il Volo,0.353,0.476,1,-5.351,0,0.0282,0.468,2.96e-06,0.184,0.244,132.074,3.7834090000000002,4,audio_features,spotify:track:4g5AEhP01lVMVuIyhXJJ22,https://api.spotify.com/v1/tracks/4g5AEhP01lVMVuIyhXJJ22,https://api.spotify.com/v1/audio-analysis/4g5AEhP01lVMVuIyhXJJ22,yes
3ggClilg7ESHXsvYywFIoi,El Amor Verdadero - L'amore si muove,Il Volo,0.522,0.772,5,-5.115,0,0.0298,0.00868,6.18e-06,0.173,0.44,100.006,3.6478562890000004,4,audio_features,spotify:track:3ggClilg7ESHXsvYywFIoi,https://api.spotify.com/v1/tracks/3ggClilg7ESHXsvYywFIoi,https://api.spotify.com/v1/audio-analysis/3ggClilg7ESHXsvYywFIoi,yes
2JxrUp8cbBTtbA8ui7UAG6,Cuando el Amor Se Convierte en Poesía,Il Volo,0.181,0.567,0,-6.438,0,0.0336,0.0469,6e-06,0.134,0.219,181.339,3.209847529,3,audio_features,spotify:track:2JxrUp8cbBTtbA8ui7UAG6,https://api.spotify.com/v1/tracks/2JxrUp8cbBTtbA8ui7UAG6,https://api.spotify.com/v1/audio-analysis/2JxrUp8cbBTtbA8ui7UAG6,yes
5yioYSUX0zWADNSjwDc9iA,Y Vendrán Amores,Il Volo,0.4,0.686,10,-4.888,0,0.0412,0.201,0.0,0.112,0.181,143.789,4.386304391,4,audio_features,spotify:track:5yioYSUX0zWADNSjwDc9iA,https://api.spotify.com/v1/tracks/5yioYSUX0zWADNSjwDc9iA,https://api.spotify.com/v1/audio-analysis/5yioYSUX0zWADNSjwDc9iA,yes
0lZrI9LGAtOf2jl6glLSJu,En el Centro del Sol,Il Volo,0.51,0.71,1,-4.791,1,0.0397,0.291,4.63e-06,0.125,0.14,115.923,4.444305551,4,audio_features,spotify:track:0lZrI9LGAtOf2jl6glLSJu,https://api.spotify.com/v1/tracks/0lZrI9LGAtOf2jl6glLSJu,https://api.spotify.com/v1/audio-analysis/0lZrI9LGAtOf2jl6glLSJu,yes
0n57kodhP57ReNGQh0AWvo,Si Me Falta Tu Mirada,Il Volo,0.441,0.52,6,-5.889,1,0.0288,0.752,0.000497,0.309,0.396,139.846,3.6778568890000005,4,audio_features,spotify:track:0n57kodhP57ReNGQh0AWvo,https://api.spotify.com/v1/tracks/0n57kodhP57ReNGQh0AWvo,https://api.spotify.com/v1/audio-analysis/0n57kodhP57ReNGQh0AWvo,yes
2ejxLQWN8mJu8OwfYs3REj,Grande amore - Spanish Version,Il Volo,0.458,0.621,1,-6.801,1,0.0293,0.058,0.000317,0.147,0.141,141.979,3.747191609,4,audio_features,spotify:track:2ejxLQWN8mJu8OwfYs3REj,https://api.spotify.com/v1/tracks/2ejxLQWN8mJu8OwfYs3REj,https://api.spotify.com/v1/audio-analysis/2ejxLQWN8mJu8OwfYs3REj,yes
